upperdistrict,name,population2015,population2014,population2013,population2012,population2011,crimebook2015,crimebook2014,crimebook2013,crimebook2012,crimebook2011,crimes2015,crimes2014,crimes2013,crimes2012,crimes2011,economiccrimes2015,economiccrimes2014,economiccrimes2013,economiccrimes2012,economiccrimes2011,gravecrimes2015,gravecrimes2014,gravecrimes2013,gravecrimes2012,gravecrimes2011,murders2015,murders2014,murders2013,murders2012,murders2011,healthdamage2015,healthdamage2014,healthdamage2013,healthdamage2012,healthdamage2011,robbing2015,robbing2014,robbing2013,robbing2012,robbing2011,banditry2015,banditry2014,banditry2013,banditry2012,banditry2011,thefts2015,thefts2014,thefts2013,thefts2012,thefts2011,burglary2015,burglary2014,burglary2013,burglary2012,burglary2011,carthefts2015,carthefts2014,carthefts2013,carthefts2012,carthefts2011,fraud2015,fraud2014,fraud2013,fraud2012,fraud2011,hijacking2015,hijacking2014,hijacking2013,hijacking2012,hijacking2011,drugs2015,drugs2014,drugs2013,drugs2012,drugs2011,publicplaces2015,publicplaces2014,publicplaces2013,publicplaces2012,publicplaces2011,street2015,street2014,street2013,street2012,street2011,sources
СВАО,Алтуфьевский,57 194,56 811,56 106,55 786,55 532,,,10972,11801,,644,667,608,645,,,,,,,212,183,170,159,210,,,0,5,,,,5,9,,,38,19,29,,9,5,8,12,,326,362,344,411,,23,19,35,21,,37,54,45,53,,56,36,,,,,,8,3,,132,100,62,28,,419,479,318,407,,,,,341,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Altufyevsky
СВАО,Бабушкинский,88 217,87 594,87 519,86 978,86 814,27284,23701,19765,,,1007,1086,1181,1407,1253,,,,,,300,361,319,330,218,,,,,,,,,,,47,57,74,100,,,5,6,,,587,567,662,789,,33,48,44,29,,66,52,50,92,,86,10,,,,,,,,,,176,148,148,,700,701,596,866,,427,443,441,586,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Babushkinsky
СВАО,Бибирево,159 903,159 067,158 991,158 329,157 624,39379,36795,,,,1794,1786,1782,2726,2283,,,,,,508,592,428,659,520,3,4,,,,7,17,12,26,,93,88,132,239,,,28,27,62,,1001,942,1036,1550,,54,42,49,117,,82,130,134,151,,,147,,,,,,14,48,,,119,73,58,,1211,1168,1150,1980,,732,747,904,1493,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Bibirevo
СВАО,Бутырский,70 712,70 316,70 193,69 841,69 197,18870,17906,13068,,,939,922,874,977,,,27,,,,212,231,336,323,,5,1,1,2,,5,4,7,3,,77,65,56,91,,15,13,20,19,,530,491,433,576,,34,31,45,43,,26,48,75,90,,108,159,,,,4,7,1,1,,76,56,34,32,,716,494,438,677,,397,359,349,580,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Butyrsky
СВАО,Лианозово,84 896,84 005,83 869,83 115,81 836,17076,14904,,,,963,1108,1163,1328,,,,,,,284,357,323,351,,3,1,6,,,2,1,9,,,47,94,86,,,6,10,11,,,530,513,655,,,27,41,49,43,,59,81,83,98,,58,111,63,,,3,5,3,,,178,194,132,,,668,765,795,940,,422,568,663,785,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Lianozovo
СВАО,Лосиноостровский,82 941,82 318,82 294,81 739,81 527,23634,21782,15364,14676,,827,928,906,1039,,,,,,,270,333,245,218,,4,2,1,3,,,8,9,12,,34,49,37,48,,11,5,12,9,,356,354,367,569,,33,36,36,26,,39,44,48,84,,61,61,40,53,,8,5,11,18,,131,219,138,69,,448,480,435,682,,314,359,346,514,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Losinoostrovsky
СВАО,Марфино,33 009,32 691,32 110,31 015,27 307,10507,9546,,,,402,304,366,377,,,14,,,,136,113,147,135,65,0,1,2,3,,8,3,3,4,,15,14,29,27,,0,3,8,9,,189,123,187,225,,18,11,29,20,,17,22,51,27,,31,10,,,,,6,5,4,,82,77,36,28,,235,194,207,217,,153,134,176,186,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Marfino
СВАО,Марьина Роща,67 295,66 844,66 794,66 418,66 371,23014,17876,14251,,,1180,735,730,811,,,,,,,225,117,226,265,296,2,0,3,1,,5,5,3,4,,45,23,47,40,,6,7,9,10,,692,437,399,489,,39,31,30,39,,51,54,61,42,,119,49,51,39,,5,9,6,6,,77,82,35,35,,809,508,459,524,,383,312,297,350,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/MaryinaRoshcha
СВАО,Останкинский,63 023,62 743,62 573,62 113,61 806,20443,18263,14525,13386,,1538,1347,1126,894,,,48,93,,,303,387,375,410,,3,1,4,2,,,3,3,6,,68,94,66,61,,6,9,10,13,,736,668,560,373,,38,44,30,30,,54,53,93,75,,515,240,161,252,,4,4,17,14,,52,144,96,41,,825,905,612,494,,550,620,472,418,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Ostankinsky
СВАО,Отрадное,183 805,182 527,181 924,179 839,177 928,,40183,35717,31914,,2611,2452,2214,2449,,,26,,,,524,685,524,625,431,5,4,5,10,,15,10,17,14,,159,145,166,174,,34,36,37,31,,1600,1384,1315,1478,,57,60,66,83,,110,148,182,195,,155,186,217,215,,35,44,22,42,,,260,144,104,,1804,1688,1401,1595,,1160,1119,1131,1434,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Otradnoye
СВАО,Ростокино,38 995,38 591,38 314,38 007,37 873,9257,,,,,367,372,390,469,,,,,,,96,129,126,169,,,,1,5,,2,5,,,,19,18,30,44,,5,3,4,13,,214,189,188,279,,12,26,21,29,,,25,32,24,,,37,21,20,,5,1,5,4,,36,39,36,34,,252,207,,,,161,148,,,,https://github.com/openpolicerussia/moscowpolicedata/tree/master/Reports/NorthEasternAO/Rostokino
